Hydrogen,1.00794, 1, H
Helium,4.0026, 2, He
Lithium,6.941, 3, Li
Beryllium,9.01218, 4, Be
Boron,10.811, 5, B
Carbon,12.011, 6, C
Nitrogen,14.0067, 7, N
Oxygen,15.9994, 8, O
Fluorine,18.9984, 9, F
Neon,20.1797, 10, Ne
Sodium,22.98977, 11, Na
Magnesium,24.305, 12, Mg
Aluminum,26.98154, 13, Al
Silicon,28.0855, 14, Si
Phosphorus,30.97376, 15, P
Sulfur,32.066, 16, S
Chlorine,35.4527, 17, Cl
Potassium,39.0983, 19, K
Argon,39.948, 18, Ar
Calcium,40.078, 20, Ca
Scandium,44.9559, 21, Sc
Titanium,47.88, 22, Ti
Vanadium,50.9415, 23, V
Chromium,51.996, 24, Cr
Manganese,54.938, 25, Mn
Iron,55.847, 26, Fe
Nickel,58.6934, 28, Ni
Cobalt,58.9332, 27, Co
Copper,63.546, 29, Cu
Zinc,65.39, 30, Zn
Gallium,69.723, 31, Ga
Germanium,72.61, 32, Ge
Arsenic,74.9216, 33, As
Selenium,78.96, 34, Se
Bromine,79.904, 35, Br
Krypton,83.8, 36, Kr
Rubidium,85.4678, 37, Rb
Strontium,87.62, 38, Sr
Yttrium,88.9059, 39, Y
Zirconium,91.224, 40, Zr
Niobium,92.9064, 41, Nb
Molybdenum,95.94, 42, Mo
Technetium,98, 43, Tc
Ruthenium,101.07, 44, Ru
Rhodium,102.9055, 45, Rh
Palladium,106.42, 46, Pd
Silver,107.868, 47, Ag
Cadmium,112.41, 48, Cd
Indium,114.82, 49, In
Tin,118.71, 50, Sn
Antimony,121.757, 51, Sb
Iodine,126.9045, 53, I
Tellurium,127.6, 52, Te
Xenon,131.29, 54, Xe
Cesium,132.9054, 55, Cs
Barium,137.33, 56, Ba
Lanthanum,138.9055, 57, La
Cerium,140.12, 58, Ce
Praseodymium,140.9077, 59, Pr
Neodymium,144.24, 60, Nd
Promethium,145, 61, Pm
Samarium,150.36, 62, Sm
Europium,151.965, 63, Eu
Gadolinium,157.25, 64, Gd
Terbium,158.9253, 65, Tb
Dysprosium,162.5, 66, Dy
Holmium,164.9303, 67, Ho
Erbium,167.26, 68, Er
Thulium,168.9342, 69, Tm
Ytterbium,173.04, 70, Yb
Lutetium,174.967, 71, Lu
Hafnium,178.49, 72, Hf
Tantalum,180.9479, 73, Ta
Tungsten,183.85, 74, W
Rhenium,186.207, 75, Re
Osmium,190.2, 76, Os
Iridium,192.22, 77, Ir
Platinum,195.08, 78, Pt
Gold,196.9665, 79, Au
Mercury,200.59, 80, Hg
Thallium,204.383, 81, Tl
Lead,207.2, 82, Pb
Bismuth,208.9804, 83, Bi
Polonium,209, 84, Po
Astatine,210, 85, At
Radon,222, 86, Rn
Francium,223, 87, Fr
Radium,226.0254, 88, Ra
Actinium,227, 89, Ac
Protactinium,231.0359, 91, Pa
Thorium,232.0381, 90, Th
Neptunium,237.0482, 93, Np
Uranium,238.029, 92, U
Americium,243, 95, Am
Plutonium,244, 94, Pu
Berkelium,247, 97, Bk
Curium,247, 96, Cm
Californium,251, 98, Cf
Einsteinium,252, 99, Es
Fermium,257, 100, Fm
Mendelevium,258, 101, Md
Nobelium,259, 102, No
Rutherfordium,261, 104, Rf
Bohrium,262, 107, Bh
Dubnium,262, 105, Db
Lawrencium,262, 103, Lr
Seaborgium,263, 106, Sg
Hassium,265, 108, Hs
Meitnerium,266, 109, Mt
ununnilium,269, 110, Uun
unununium,272, 111, Uuu
ununbium,277, 112, Uub
